אבו ג'ווייעד (שבט),אבו ג'ווייעד (שבט)  
אבו גוש,אבו גוש             
אל רשיד,אבו גוש             
אל-חנאא',אבו גוש             
אלעבד עלי,אבו גוש             
בית הבד,אבו גוש             
ג'בר,אבו גוש             
דאוד עבדאללה,אבו גוש             
דולב,אבו גוש             
דרך הגוש,אבו גוש             
דרך השלום,אבו גוש             
דרך מעלה החמשה,אבו גוש             
האגוז,אבו גוש             
האורנים,אבו גוש             
האיריס,אבו גוש             
האלה,אבו גוש             
הארזים,אבו גוש             
הארמונות,אבו גוש             
הבושם,אבו גוש             
הברוש,אבו גוש             
הגורן,אבו גוש             
הגנים,אבו גוש             
הגפנים,אבו גוש             
הדובדבנים,אבו גוש             
הוואדי,אבו גוש             
הורד,אבו גוש             
הזיתים,אבו גוש             
החווה,אבו גוש             
החומה,אבו גוש             
החרוב,אבו גוש             
הלימון,אבו גוש             
המאפיה הישנה,אבו גוש             
המעברה,אבו גוש             
המפעל,אבו גוש             
המצפה,אבו גוש             
המשתלה,אבו גוש             
הנענע,אבו גוש             
הנרקיס,אבו גוש             
העוזרד,אבו גוש             
הפול,אבו גוש             
הפרחים,אבו גוש             
הרימונים,אבו גוש             
השדות,אבו גוש             
השושן,אבו גוש             
השזיף,אבו גוש             
השיכון,אבו גוש             
השקדים,אבו גוש             
התאנים,אבו גוש             
התות,אבו גוש             
התמר,אבו גוש             
חאג' עותמאן,אבו גוש             
חג' מוסא,אבו גוש             
יסמין,אבו גוש             
מחמוד רשיד,אבו גוש             
מרכז הכפר,אבו גוש             
נוטרדאם,אבו גוש             
נטאף,אבו גוש             
עבדאל עזיז,אבו גוש             
עבדאל רחמן,אבו גוש             
עמאוס,אבו גוש             
ענבר,אבו גוש             
ציפורן,אבו גוש             
שייח איסמעיל,אבו גוש             
אבו סנאן,אבו סנאן            
אבו-אלחסן,אבו סנאן            
אזור תעשייה,אבו סנאן            
אל שוקפאן,אבו סנאן            
אלג'ורה,אבו סנאן            
אלהדאפה,אבו סנאן            
אלחלקאת,אבו סנאן            
אלחרוב ש חייל החדשה,אבו סנאן            
אלחרוב ש חייל הישנה,אבו סנאן            
אלמלה,אבו סנאן            
אלמפצלה,אבו סנאן            
אלע'וזה,אבו סנאן            
אלעקבה,אבו סנאן            
הואדי,אבו סנאן            
השכונה הדרומית,אבו סנאן            
כרם אלרג'ומה,אבו סנאן            
מרכז הכפר,אבו סנאן            
עמדאן סעד,אבו סנאן            
עשואן,אבו סנאן            
קריית החינוך,אבו סנאן            
ראס אלכרם,אבו סנאן            
שכ הכנסייה,אבו סנאן            
שכונת המסגד,אבו סנאן            
שכונת השוק,אבו סנאן            
אבו סריחאן (שבט),אבו סריחאן (שבט)    
אבו עבדון (שבט),אבו עבדון (שבט)     
אבו עמאר (שבט),אבו עמאר (שבט)      
אבו עמרה (שבט),אבו עמרה (שבט)      
אבו קורינאת (שבט),אבו קורינאת (שבט)   
אבו קרינאת (יישוב),אבו קרינאת (יישוב)  
אבו רובייעה (שבט),אבו רובייעה (שבט)   
אל קרעאן,אבו רובייעה (שבט)   
אבו כף,אבו רוקייק (שבט)    
אבו סבית,אבו רוקייק (שבט)    
אבו רוקייק (שבט),אבו רוקייק (שבט)    
טרשאן,אבו רוקייק (שבט)    
אבו תלול,אבו תלול            
אבטין,אבטין               
אבטליון,אבטליון             
אביאל,אביאל               
אביבים,אביבים              
אביגדור,אביגדור             
אביחיל,אביחיל              
בן צבי,אביחיל              
דרך הים,אביחיל              
דרך פרחים,אביחיל              
הבנים,אביחיל              
הגדוד העברי,אביחיל              
הדקל,אביחיל              
ההגנה,אביחיל              
ההדרים,אביחיל              
החורשה,אביחיל              
הלח"י,אביחיל              
העצמאות,אביחיל              
הפלמ"ח,אביחיל              
הפרדס,אביחיל              
הצבעוני,אביחיל              
הרותם,אביחיל              
השומר,אביחיל              
לוחמי גליפולי,אביחיל              
נהגי הפרדות,אביחיל              
עין העובד,אביחיל              
צה"ל,אביחיל              
שד בן גוריון,אביחיל              
שוורצברד,אביחיל              
תל חי,אביחיל              
אביטל,אביטל               
אביעזר,אביעזר              
אבירים,אבירים              
אביבית,אבן יהודה           
אבן יהודה,אבן יהודה           
אגמון,אבן יהודה           
אדם,אבן יהודה           
אדמונית,אבן יהודה           
אהבת ציון,אבן יהודה           
אזור תעשייה,אבן יהודה           
אחוזת מישרים,אבן יהודה           
אילת השחר,אבן יהודה           
אירוס הארגמן,אבן יהודה           
אלמוגן,אבן יהודה           
אמנון ותמר,אבן יהודה           
אנפה,אבן יהודה           
אסותא,אבן יהודה           
ארז,אבן יהודה           
אשל,אבן יהודה           
באר גנים,אבן יהודה           
בושמת,אבן יהודה           
בית השואבה,אבן יהודה           
בני בנימין,אבן יהודה           
ברקן,אבן יהודה           
גבעונית,אבן יהודה           
גבעת רימון,אבן יהודה           
דגן,אבן יהודה           
דודאים,אבן יהודה           
דולב,אבן יהודה           
דן,אבן יהודה           
דניאל,אבן יהודה           
דפנה,אבן יהודה           
דרור,אבן יהודה           
דרך בין השדות,אבן יהודה           
דרך רבין,אבן יהודה           
האגוז,אבן יהודה           
האגס,אבן יהודה           
האודם,אבן יהודה           
האוכמניות,אבן יהודה           
האורן,אבן יהודה           
האיזמרגד,אבן יהודה           
האילנות,אבן יהודה           
האירוסים,אבן יהודה           
האלה,אבן יהודה           
האלון,אבן יהודה           
האתרוג,אבן יהודה           
הבאר,אבן יהודה           
הבנים,אבן יהודה           
הברוש,אבן יהודה           
הגבעה,אבן יהודה           
הגולן,אבן יהודה           
הגליל,אבן יהודה           
הגפן,אבן יהודה           
הגת,אבן יהודה           
הדובדבן,אבן יהודה           
הדליות,אבן יהודה           
הדס,אבן יהודה           
הדקל,אבן יהודה           
ההדרים,אבן יהודה           
ההסתדרות,אבן יהודה           
ההרדופים,אבן יהודה           
הורד,אבן יהודה           
הורדים,אבן יהודה           
הזית,אבן יהודה           
החרוב,אבן יהודה           
היבולים,אבן יהודה           
היונה,אבן יהודה           
היצירה,אבן יהודה           
הלוחמים,אבן יהודה           
המחתרת,אבן יהודה           
המיסדים,אבן יהודה           
המעפילים,אבן יהודה           
המתמיד,אבן יהודה           
הנגב,אבן יהודה           
הנוטע,אבן יהודה           
הנוטר,אבן יהודה           
הנופר,אבן יהודה           
הנורית,אבן יהודה           
הנרקיסים,אבן יהודה           
הסוף,אבן יהודה           
הסחלב,אבן יהודה           
הסייפן,אבן יהודה           
העירית,אבן יהודה           
העצמאות,אבן יהודה           
הערבה,אבן יהודה           
הפטל,אבן יהודה           
הפלמ"ח,אבן יהודה           
הפרגים,אבן יהודה           
הצאלון,אבן יהודה           
הקשת,אבן יהודה           
הרותם,אבן יהודה           
הרימונים,אבן יהודה           
הרקפות,אבן יהודה           
השומר,אבן יהודה           
השומרון,אבן יהודה           
השושן,אבן יהודה           
השיח,אבן יהודה           
השיטה,אבן יהודה           
השלום,אבן יהודה           
השלושה,אבן יהודה           
השקמה,אבן יהודה           
השרון,אבן יהודה           
התאנה,אבן יהודה           
התומר,אבן יהודה           
התות,אבן יהודה           
התעשיה,אבן יהודה           
התפוז,אבן יהודה           
התקומה,אבן יהודה           
ותיקים,אבן יהודה           
זויתן,אבן יהודה           
חבצלת,אבן יהודה           
חבצלת השרון,אבן יהודה           
חלמונית,אבן יהודה           
חמנית,אבן יהודה           
חן,אבן יהודה           
חצב,אבן יהודה           
חרצית,אבן יהודה           
יסמין,אבן יהודה           
יערה,אבן יהודה           
כליל החורש,אבן יהודה           
כלנית,אבן יהודה           
כרכום,אבן יהודה           
לוטם,אבן יהודה           
לוע הארי,אבן יהודה           
לילך,אבן יהודה           
מורן,אבן יהודה           
מכבי,אבן יהודה           
מנטה,אבן יהודה           
מעיין,אבן יהודה           
מעלה הארגמן,אבן יהודה           
מעלה הלבונה,אבן יהודה           
מעלה הרתמים,אבן יהודה           
מרבד הקסמים,אבן יהודה           
מרגנית,אבן יהודה           
מרווה,אבן יהודה           
נווה הדר,אבן יהודה           
נחל אל-על,אבן יהודה           
נחל סער,אבן יהודה           
נחל פולג,אבן יהודה           
ניצן,אבן יהודה           
נר הלילה,אבן יהודה           
סביון,אבן יהודה           
סהרון,אבן יהודה           
סיני,אבן יהודה           
סמ האלה,אבן יהודה           
סמ החרמון,אבן יהודה           
סמ הלוטוס,אבן יהודה           
סמ הניצנים,אבן יהודה           
סמ הקולנוע,אבן יהודה           
סמ השושנה,אבן יהודה           
סמ השישה,אבן יהודה           
סמ יעקובי,אבן יהודה           
סמ יערה,אבן יהודה           
סמטת ברקן,אבן יהודה           
סמטת גומא,אבן יהודה           
סמטת דן,אבן יהודה           
סנונית,אבן יהודה           
סתוונית,אבן יהודה           
עגור,אבן יהודה           
עדעד,אבן יהודה           
עופרית,אבן יהודה           
עליה,אבן יהודה           
עממי,אבן יהודה           
עפרוני,אבן יהודה           
עציון,אבן יהודה           
פעמונית,אבן יהודה           
צבעוני,אבן יהודה           
צבר,אבן יהודה           
צה"ל,אבן יהודה           
צורית,אבן יהודה           
ציפורן,אבן יהודה           
קבוץ גלויות,אבן יהודה           
קחון,אבן יהודה           
